Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
82397,Richard II,William Shakespeare,"Shakespeare, William","Roma Gill, Robert          Jackson","=""0198320043""","=""9780198320043""",0,3.77,"Oxford University Press, USA",Paperback,168,2003,1595,,2021/02/02,to-read,to-read (#40),to-read,,,,0,,,0,,,,,,,"Plays|1093;Classics|981;Drama|526;Fiction|219;Historical,Historical Fiction|196;Plays,Theatre|142;Poetry|104;Literature|98;Academic,School|72;Historical|72"
13020,"King Henry IV, Part 1",William Shakespeare,"Shakespeare, William",David Scott Kastan,"=""1904271359""","=""9781904271352""",0,3.82,Bloomsbury Arden Shakespeare,Paperback,398,2002,1597,,2021/02/02,to-read,to-read (#39),to-read,,,,0,,,0,,,,,,,"Plays|1298;Classics|1193;Drama|600;Fiction|273;Historical,Historical Fiction|236;Plays,Theatre|134;Poetry|117;Academic,School|114;Literature|103;Historical|83"
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",0,3.91,Simon  Schuster,Paperback,249,2013,1606,,2021/02/02,to-read,to-read (#38),to-read,,,,0,,,0,,,,,,,"Classics|17602;Plays|8951;Fiction|3995;Drama|2727;Academic,School|2438;Literature|1188;Academic,Read For School|1134;Plays,Theatre|913;Young Adult,High School|751;Poetry|742"
30556551,Nobody Wants to Read Your Sh*t: Why That Is And What You Can Do About It,Steven Pressfield,"Pressfield, Steven",Shawn Coyne,"=""""","=""""",4,4.22,Black Irish Entertainment LLC,Kindle Edition,191,2016,2016,2021/02/01,2021/02/01,,,read,"""What Nobody Wants to Read Your Shit means is that none of us wants to hear your self-centered, ego-driven, unrefined demands for attention. Why Should we? It's boring. There's nothing in it for us.""<br/><br/>To avoid this we need to domesticate our stories with these storytelling skills:<br/><br/>1) Every work must be about something (theme)<br/>2) Every work must have a unique framing device<br/>3) Every work must start with an inciting incident<br/>4) Every work can be divided into the Hook, the Build, and the Payoff.<br/>5) Character must represent something greater than himself<br/>6) The protagonist embodies the theme<br/>7) The antagonist personifies the counter theme (This could be internal to the protagonist)<br/>8) The protagonist and antagonist clash in the climax around the issue of the theme<br/>9) The climax resolves the clash between the theme and the counter-theme<br/><br/>Pressfield's personal account of his life as an ad man, movie scriptwriter, and finally novelist expertly weaves these lessons together and gives you hope that you can apply them to your stories.",,,1,,,0,,,,,,",2021-02-01","Language,Writing|173;Nonfiction|85;Self Help|27;Business|19;Self Help,Personal Development|9;Psychology|5;Productivity|5;Art|5;Audiobook|4;Art,Crafts|3"
43185339,The Enchiridion & Discourses of Epictetus,Epictetus,"Epictetus, Epictetus",,"=""1729607268""","=""9781729607268""",4,4.24,CreateSpace Independent Publishing Platform,Paperback,124,2018,,2021/01/26,2021/01/26,,,read,"Epictetus is intensely focused on the best way for you to live your life. Everything you have, your body, your things, and your health are technically only rentals. Be fully aware that these things will leave you. Instead of wishing to keep them forever, only wish for them to happen as they will. Only focus on things that are under your control and be aware of your sphere of influence. Master your habits, your actions, and corresponding reactions. Only then can you attain the freedom that will never leave you.",,,1,,,0,,,,,,",2021-01-26",Philosophy|16;Nonfiction|3
10176,Dress Your Family in Corduroy and Denim,David Sedaris,"Sedaris, David",,"=""0965904830""","=""9780965904834""",4,4.08,"Little, Brown & Co.",Paperback,257,2004,2004,,2021/01/16,,,read,"Sedaris expertly straddles between being an asshole and being that quirky friend that you want to be around. I enjoy his ability to decipher social interactions with deadpan clarity like realizing that asking his sister to clean her apartment is asking her to be an entirely different person. But at the same time, his internal dialogue can be so out of touch that what happens next, while being pretty average, can seem unexpectedly clever. <br/><br/>I think his ability to explain his apparent selfish behavior in such a way that converts you to advocate for his position is a real talent. I get the feeling all his conversations are either about stories or fuel for a new one. At the same time, it must be frustrating having a family member who can decide how everyone will remember you when you're dead but at the same time loves making you look bad. <br/><br/>His stories do have great comedic timing though. I found myself chuckling quite a bit with the unexpected turns. His writing puts such interesting images in your head like, ""how do palm readers respond to rubber hands?""<br/><br/>I think if there is anything I'd like to take away from his writing it is his ability to guide his reader through uncomfortable situations that always has a satisfying cathartic release. Unlike me, the guy knows how to end an essay.",,,3,,,0,,,,,,",2021-01-16","Humor|2546;Nonfiction|2084;Autobiography,Memoir|1412;Writing,Essays|974;Short Stories|577;Humor,Comedy|412;Audiobook|320;Biography|245;Biography Memoir|166;Biography,Autobiography|128"
38821039,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,"Zhuo, Julie",,"=""0735219567""","=""9780735219564""",0,4.26,Portfolio,Hardcover,288,2019,2019,,2021/01/07,to-read,to-read (#37),to-read,,,,0,,,0,,,,,,,"Business|348;Business,Management|250;Leadership|242;Nonfiction|191;Self Help|41;Design|37;Self Help,Personal Development|35;Audiobook|20;Buisness|15;Science,Technology|13"
78428,Your Money or Your Life,Vicki Robin,"Robin, Vicki",Joe Dominguez,"=""0140286780""","=""9780140286786""",5,4.03,Penguin Books,Paperback,400,1999,1992,2020/12/25,2020/12/25,,,read,If you have anxiety about money or how you are spending your life I would recommend this book. The writing can be selfhelpy and anecdotal but I do think the content is worth your time. I made the wallchart of expenses and income using mint.com's transactions and exporting into R. I still need to calculate an accurate networth and lifetime accumulated income but I do think these exercises are worth taking the time to do and not just read. ,,,2,,,0,,,,,,",2020-12-25","Economics,Finance|880;Nonfiction|655;Finance,Personal Finance|444;Currency,Money|308;Self Help|259;Business|198;Economics|107;Self Help,Personal Development|66;Audiobook|32;Psychology|30"
4138,Naked,David Sedaris,"Sedaris, David",,"=""""","=""""",4,4.07,Back Bay Books,Paperback,304,1998,1997,,2020/12/20,,,read,,,,1,,,0,,,,,,"2020-12-20,2020-12-20","Humor|2325;Nonfiction|1868;Autobiography,Memoir|1374;Writing,Essays|804;Short Stories|478;Humor,Comedy|378;Biography|281;Audiobook|166;Biography Memoir|151;Biography,Autobiography|99"
7437,Naked Lunch,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Barry Miles","=""0802140181""","=""9780802140180""",0,3.46,Grove Press,Paperback,289,2004,1959,,2019/12/17,to-read,to-read (#36),to-read,,,,1,,,0,,,,,,,"Fiction|2091;Classics|978;Literature|290;Novels|211;Literature,American|163;Contemporary|119;Thriller|107;Literature,20th Century|99;Literature,Banned Books|97;Science Fiction|91"
